,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,26.84922791,0.234635904,30.22294426,-0.273178926,15.95668983,0.132183403,23.83527756,0.208125492,17.68927765,0.156248495,23.77140236,0.212364084,12.30251408,0.105018288,15.25281525,0.675723155,13.0288372,0.121614136,14.27815151,0.715842016,10.44750786,0.104340956,13.11929417,0.760096335,20.03498664,0.421161991,23.54222307,0.227477982,23.36238289,0.199273482,27.7590332,-0.074050159,5.236180782,0.050164316,6.254425049,0.945475623
1,26.98363304,0.236682802,30.34620667,-0.271695096,26.16623688,0.242723644,31.76805496,-0.393655542,14.57345963,0.150602281,16.78694725,0.610849451,11.78966999,0.101182476,14.69642353,0.701738335,4.770805836,0.046227578,6.306762218,0.945072851,8.654548645,0.09084142,11.01117802,0.832566744,21.18985661,0.432749958,25.20604759,0.122628198,24.43530464,0.211747646,29.68325615,-0.216738401,4.671544552,0.045328677,5.910753727,0.95175416
2,26.9028759,0.23639752,30.27416611,-0.2649768,19.12724113,0.192164123,22.01680756,0.330968048,9.426433563,0.085456319,14.20218372,0.721613317,12.36833096,0.106842101,15.17284107,0.682259934,9.225334167,0.083440334,10.61727333,0.844416254,8.708589554,0.083619587,10.26487541,0.854572824,21.92860587,0.437318077,25.81732462,0.080057547,24.51438332,0.227219835,27.35625839,-0.03288403,4.598205566,0.04499336,5.720408916,0.954836008
3,26.9584465,0.236056417,30.35130501,-0.29417338,18.11265182,0.15955925,26.27190971,0.030336424,10.97772694,0.096001633,15.08572292,0.68027986,11.94661903,0.102497809,14.84019184,0.690602497,5.942820072,0.056529041,7.974032402,0.910670745,10.08039761,0.095735803,13.41908455,0.747021584,21.44962617,0.43153444,25.48521954,0.087538573,23.16441917,0.211029738,27.12931061,-0.03398745,4.703429699,0.045256417,5.707549572,0.954234614
4,26.99977684,0.236776844,30.41767502,-0.292891377,21.51126671,0.189691797,27.32481956,-0.043337019,14.06498814,0.124510787,17.65901566,0.564244399,11.87192345,0.101820692,14.83817387,0.692340092,7.971342087,0.079365827,9.213078499,0.881390481,5.604732513,0.052247651,6.844907284,0.934529571,22.26000362,0.444819205,26.43208458,0.023723485,21.01981735,0.17760621,27.51758957,-0.058110101,4.815717697,0.044787932,6.010129929,0.949524834
5,27.03658104,0.237623483,30.43464279,-0.278534458,34.13967133,0.292333394,42.28125381,-1.467582821,13.81463718,0.140827134,22.66945457,0.290653904,12.50963211,0.107890464,15.37275314,0.673803452,11.80749321,0.104037508,14.0254364,0.728475654,15.45265484,0.130403891,20.97562027,0.392696688,20.9230423,0.426815181,24.43164471,0.176086837,22.06201172,0.190871492,29.10632133,-0.16936647,4.567279339,0.042805564,5.627457619,0.956288014
6,26.91542244,0.235752672,30.25409126,-0.25841361,29.72790337,0.314228415,33.60361862,-0.552484462,13.65799332,0.124407172,20.55145073,0.419315554,11.75688934,0.100902982,14.61160564,0.706470967,11.58952904,0.102256306,13.60607815,0.745480492,7.920922756,0.074462704,9.668715477,0.871473474,20.94465551,0.432734199,24.99302874,0.141198166,23.10916519,0.202226222,27.07345963,-0.007726575,5.65433073,0.052086752,6.619283676,0.939761083
7,26.98882866,0.236669481,30.40908813,-0.279823893,14.00433445,0.137773588,22.3712101,0.307336448,13.9799881,0.131860867,17.81521034,0.560736338,12.15637779,0.104420394,15.04139709,0.686873531,5.29374361,0.049870513,6.585124969,0.939983399,11.6184082,0.099272326,16.05552101,0.643226743,21.86820221,0.433625455,25.83752569,0.076056849,24.73573112,0.221605808,27.56786156,-0.051839871,4.756215572,0.044912282,5.988062382,0.950373225
8,26.9554348,0.236524299,30.32896042,-0.274086686,19.56074715,0.187626734,25.7256794,0.083320143,8.154385567,0.093675427,11.43346977,0.818932684,11.88310337,0.102304757,14.73889065,0.699105977,4.426182747,0.044087764,5.35734129,0.960245835,10.81198883,0.099624246,12.7111702,0.776202609,20.98250745,0.428696749,24.46109371,0.171226758,21.18395233,0.179960147,28.67862701,-0.139201858,3.780036449,0.037930258,4.596451759,0.970736287
9,27.03924942,0.237045899,30.36650276,-0.265872672,20.65749359,0.218225658,24.97225952,0.143916413,25.94949722,0.248406738,29.78265572,-0.217663595,12.18509579,0.104572609,15.05496216,0.688857134,5.684980392,0.055379812,7.00450325,0.932647275,14.99359894,0.136578351,17.82211876,0.563967181,20.67287471,0.429394021,24.59687357,0.169460515,22.57522583,0.198724285,27.13853836,-0.011051759,4.342412472,0.043259587,5.403110504,0.959923649
