,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.08446084,0.04912873,0.102041222,0.595807857,0.113236032,0.066629395,0.147504866,0.155403437,0.092324667,0.055686578,0.107574441,0.550784552,0.061624411,0.036667328,0.085909195,0.713505804,0.059406545,0.034839898,0.086479291,0.709690817,0.058122519,0.034083396,0.084934816,0.719967747,0.046575499,0.119545314,0.056943821,0.874127819,0.103596576,0.065622211,0.113332801,0.501405052,0.049001281,0.121857054,0.06066056,0.857852385,0.036862705,0.023627596,0.042966351,0.928337253
1,0.083888642,0.048853938,0.100252718,0.610208879,0.10321594,0.065200076,0.11825078,0.457689874,0.092203319,0.057695862,0.098394953,0.624521322,0.071655177,0.042684544,0.082565367,0.735615802,0.075606063,0.045243964,0.08598838,0.713239591,0.078623205,0.046904121,0.089620627,0.688501714,0.038614382,0.116909099,0.04754889,0.91231598,0.132077277,0.077934876,0.15646635,0.050529281,0.041746534,0.125455635,0.052748916,0.892635362,0.043402884,0.027278345,0.049042363,0.906721298
2,0.085440189,0.049809463,0.102361493,0.599996944,0.158290178,0.09292537,0.203892112,-0.587051239,0.082246557,0.051926516,0.090950221,0.684210552,0.065156206,0.039726399,0.084516078,0.727310296,0.059232846,0.035180893,0.076214388,0.778249816,0.057871252,0.034397453,0.076250717,0.77803836,0.045888197,0.11874841,0.056668482,0.877404866,0.10554529,0.067627594,0.12225315,0.429428324,0.053664238,0.130116104,0.068362695,0.822391052,0.031215638,0.018774875,0.039399616,0.940738303
3,0.084459931,0.049270019,0.101157837,0.604431135,0.171721488,0.106949411,0.202287391,-0.581833202,0.097825289,0.061579332,0.108253367,0.546991988,0.066179879,0.040037293,0.084845439,0.721721267,0.058587592,0.035102386,0.075206459,0.781358141,0.058411237,0.034907665,0.074439175,0.78579672,0.070650564,0.128045297,0.091522113,0.67620131,0.097975865,0.062725887,0.111292683,0.521197699,0.050242838,0.127747674,0.066132713,0.831708915,0.039361436,0.024663424,0.045590021,0.919654308
4,0.084197931,0.048999112,0.101560563,0.599047303,0.098518834,0.057285115,0.144128084,0.192504453,0.054429244,0.032350529,0.069791682,0.810656547,0.05720447,0.034377355,0.075385228,0.779089976,0.062195461,0.036840018,0.083332933,0.730054383,0.061787318,0.036484629,0.082748853,0.733825199,0.056517443,0.122519797,0.071155355,0.803185034,0.089978963,0.057597853,0.102156259,0.594329969,0.044118298,0.115194694,0.05728525,0.873062571,0.036317691,0.021600641,0.04544501,0.919718522
5,0.084598899,0.049217116,0.101425715,0.603929533,0.079933651,0.045563646,0.126448885,0.384389133,0.093728319,0.057115797,0.100306951,0.61261898,0.07552173,0.044891737,0.088471569,0.698641312,0.065409228,0.038740043,0.08109796,0.746781094,0.065820731,0.039079957,0.081009194,0.747335129,0.056761642,0.125091258,0.078146391,0.764877535,0.159559414,0.095820837,0.18589811,0.330534866,0.040022161,0.116532351,0.050418408,0.902626908,0.029416803,0.017562827,0.034299709,0.95470428
6,0.081675604,0.047678541,0.098716505,0.617202256,0.052957427,0.032341041,0.057078481,0.872022192,0.125751853,0.07726948,0.12943086,0.341939943,0.069812313,0.044368602,0.07922639,0.753436056,0.085192055,0.053852707,0.092899799,0.660984636,0.071706779,0.04533447,0.079113804,0.754136291,0.060358875,0.119152407,0.073227932,0.789358774,0.083905481,0.052188307,0.087388389,0.700016502,0.043836472,0.125482455,0.056163717,0.87666429,0.037918631,0.02391495,0.04241458,0.92933243
7,0.084487438,0.049215537,0.100808546,0.610078378,0.129609928,0.074138924,0.175080419,-0.176136708,0.106478222,0.065694548,0.116181955,0.48208326,0.07695175,0.046184678,0.087723918,0.704730485,0.061215073,0.036940008,0.075169884,0.783194487,0.063875616,0.038494371,0.077808909,0.767704261,0.042490552,0.117089408,0.053030684,0.892096123,0.077274285,0.048237216,0.095937178,0.646852254,0.038162625,0.123045416,0.049437507,0.906687958,0.042390108,0.026322577,0.049232647,0.906998712
8,0.083427221,0.048661716,0.100600615,0.606267937,0.079742916,0.047778383,0.095157683,0.647720565,0.083557174,0.052744612,0.090548903,0.681018169,0.064130589,0.038827263,0.07619781,0.774116479,0.061208751,0.036649778,0.073665887,0.788878519,0.058390118,0.035120528,0.072951041,0.79295603,0.049257936,0.119164617,0.060954349,0.855453041,0.092119031,0.05807969,0.097477123,0.630337811,0.06564888,0.126831216,0.073763639,0.789296527,0.017645963,0.010847286,0.024153249,0.977303929
9,0.083531968,0.048785314,0.100950256,0.60339007,0.120346844,0.077221908,0.141325191,0.222701295,0.085911162,0.055058282,0.097000919,0.633815121,0.073965102,0.045344867,0.083558366,0.72827559,0.063172773,0.037955355,0.076125391,0.774468203,0.063130483,0.038039375,0.076259673,0.773671806,0.081905412,0.137824315,0.106397784,0.559431021,0.063461669,0.036770146,0.07850828,0.760127955,0.052247317,0.130442029,0.06812361,0.820158268,0.024345724,0.014366763,0.031475794,0.961443097
